
"Regional gross disposable household income (GDHI) at current basic prices"
"ONS Crown Copyright Reserved [from Nomis on 30 November 2025]"
"Analysis   :","standard"
"Component of GDHI:","Gross Disposable Household Income (GDHI)"
"Measure    :","GDHI per head (£)"

"local authority: district / unitary (as of April 2023)","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Oadby and Wigston",8893,9185,9447,9683,10069,10364,10955,11391,11803,12085,12825,13026,13623,13930,14062,14500,14901,15226,16180,16349,16864,17335,18172,18521,19099,19960,21514
"Boston",9475,9693,10179,10570,11102,11465,11981,12407,12889,13055,13633,13770,13932,13900,14376,14779,14822,15286,15722,15661,15920,16110,17035,16953,17396,18189,19426
"East Lindsey",9087,9302,9486,9734,10039,10355,10710,11155,11626,11977,12747,13073,13518,13944,14325,14807,15299,15844,16527,16573,17017,17606,18362,18542,18982,20505,22327
"Lincoln",7937,8159,8490,8757,9206,9674,10128,10404,10731,11016,11589,11865,12465,12415,12793,13073,13072,13405,13690,13802,14048,14421,14989,15212,15703,16639,18178
"North Kesteven",10921,11151,11348,11528,11882,12077,12453,12846,13393,13670,14375,14571,14933,15085,15418,15925,16307,16842,17425,17484,17964,18439,18942,19093,19460,20729,22667
"South Holland",10291,10464,10859,11297,11665,11893,12243,12541,13016,13215,13897,14026,14272,14438,14716,15237,15555,16083,16536,16558,17018,17227,17447,17691,18469,19239,20789
"South Kesteven",10520,10739,11160,11603,12059,12470,12907,13508,14131,14426,15390,15769,15954,16277,16552,16990,17353,17884,18577,18565,19147,20463,21262,21214,21718,22974,24858
"West Lindsey",10413,10646,10978,11367,11696,11978,12241,12783,13263,13546,14304,14615,14935,15244,15621,15959,16481,17016,17566,17610,18337,18507,19099,19549,20437,20837,22385
"Ashfield",7657,7997,8461,8777,9136,9408,9851,10387,10559,10811,11502,11778,12291,12194,12305,12720,12968,13560,14208,14399,14784,15330,15803,16169,16476,17306,18772
"Bassetlaw",9142,9429,9834,10362,10758,11106,11458,12201,12474,12721,13697,14007,14262,14184,14243,14590,15073,15644,16718,16693,17099,17666,18319,18534,18918,19985,21571
"Broxtowe",9305,9628,10137,10209,10939,11193,11856,12317,12555,13046,13864,14273,14629,14465,14630,15296,15845,16424,16926,17031,17283,17536,18041,18508,19175,19823,21498
"Gedling",9860,10093,10558,10717,11417,11685,12300,12828,13130,13695,14547,14984,15301,15182,15270,15941,16446,17008,17495,17433,17800,18038,18870,18998,19640,20668,22513
"Mansfield",7728,8086,8531,8888,9540,9852,10299,10898,11128,11337,11985,12227,12854,12740,12838,13267,13549,14102,14757,14795,15288,15818,16330,16896,17256,18534,20267
"Newark and Sherwood",10557,10932,11249,12043,12453,12906,13310,13989,14210,14400,15591,15902,15841,15777,15708,16003,16563,17150,18427,18187,18551,19355,20102,19885,20779,21780,23486
"Rushcliffe",13457,13666,14217,14476,15203,15307,15822,16448,16786,17283,18529,18908,18811,18724,18668,19535,20241,20936,21815,21768,22126,22733,23513,23386,24210,25806,28293
"Herefordshire, County of",10193,10617,10843,11297,11849,12189,12687,13280,13655,14407,14660,15117,15581,16034,16458,16769,17532,17855,18825,19032,19318,20034,20986,21147,21681,22736,24774
"Telford and Wrekin",10249,10312,10514,10347,10318,10753,11312,11826,11782,12302,12810,13032,13318,13641,14046,14462,14743,15155,15848,16101,16096,16443,16950,17250,17896,18825,20279
"Stoke-on-Trent",8367,8477,9034,9299,9438,9591,9918,10197,10746,10894,11413,11604,11922,12054,12322,12667,13105,13352,13869,14006,14146,14567,15015,15323,15603,16276,17626
"Shropshire",10809,11286,11423,11727,12001,12306,12859,13408,13631,14342,14720,15479,15967,15995,16223,16438,16825,17326,18412,18650,18880,19629,20348,20250,20545,21679,23824
"Cannock Chase",8604,8876,9308,9538,10170,10356,10693,10797,11113,11664,11912,12290,12869,12887,13059,13595,14125,14694,15359,15641,16086,16561,16983,17525,17514,18542,20117
"East Staffordshire",10155,10343,10879,11199,11770,12001,12295,12501,12800,13374,13735,14108,14451,14465,14548,14918,15511,16002,16763,16728,17151,18134,18656,18368,18506,19668,21422
"Lichfield",12394,12872,13292,14061,14747,15063,15427,15661,16133,16755,17409,17952,17666,18023,17952,18282,19162,19829,21061,21037,21528,22906,23035,22595,23165,24446,26610
