region,region_code,age_band,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
London,E12000007,Aged 16 - 64,,,,,,,,,,,,4514598.0,4513090.0,4527439.0,4556914.0,4606533.0,4642411.0,4685777.0,4780580.0,4874543.0,4974573.0,5025296.0,5038546.0,5076217.0,5150699.0,5221068.0,5298039.0,5387169.0,5478584.0,5558486.0,5664416.0,5726145.0,5800997.0,5873113.0,5955594.0,6010793.0,6024971.0,6066064.0,6113644.0,6099549.0,6062210.0,6104266.0,6208153.0,6275855.0
London,E12000007,Aged 18 - 24,,,,,,,,,,,,745138.0,715030.0,702402.0,693477.0,689668.0,692937.0,700978.0,706904.0,702625.0,707381.0,716835.0,719121.0,732875.0,744795.0,759046.0,778593.0,790280.0,794379.0,801372.0,815915.0,816583.0,822781.0,824812.0,836842.0,835601.0,821711.0,816377.0,812995.0,780824.0,778611.0,807464.0,832196.0,847135.0
London,E12000007,Aged 65 and over,1047959.0,1037464.0,1022049.0,1004457.0,1011393.0,1010923.0,1006370.0,993899.0,983984.0,973996.0,963862.0,956437.0,949721.0,941118.0,934692.0,928399.0,920525.0,914353.0,906126.0,899254.0,897118.0,893178.0,888785.0,883770.0,881806.0,875694.0,873427.0,878233.0,887291.0,897161.0,910130.0,933153.0,950602.0,966311.0,977005.0,988898.0,1000640.0,1013298.0,1028707.0,1037618.0,1050904.0,1070177.0,1090349.0,1115497.0
London,E12000007,All ages,6805000.0,6765084.0,6752989.0,6754717.0,6766997.0,6774202.0,6765557.0,6729336.0,6751562.0,6798786.0,6829314.0,6829408.0,6844491.0,6873527.0,6913123.0,6974407.0,7014838.0,7065497.0,7153912.0,7236712.0,7322403.0,7376671.0,7394817.0,7432730.0,7519009.0,7597825.0,7693473.0,7812161.0,7942594.0,8061495.0,8204407.0,8320767.0,8438987.0,8547192.0,8659545.0,8743651.0,8776229.0,8833335.0,8889743.0,8867008.0,8804769.0,8871368.0,8999705.0,9089736.0
South East,E12000008,Aged 0 - 15,,,,,,,,,,,,1530357.0,1543373.0,1559320.0,1571025.0,1573972.0,1580937.0,1585299.0,1599696.0,1600058.0,1594129.0,1589133.0,1590048.0,1589659.0,1588859.0,1591263.0,1597308.0,1604627.0,1614813.0,1628367.0,1643750.0,1658276.0,1669792.0,1680454.0,1691891.0,1705712.0,1713611.0,1720053.0,1722051.0,1719741.0,1721135.0,1748269.0,1772944.0,1784899.0
South East,E12000008,Aged 16 - 59/64,,,,,,,,,,,,4680399.0,4679037.0,4698787.0,4731011.0,4759392.0,4798321.0,4820792.0,4864493.0,4891405.0,4922308.0,4940365.0,4968160.0,4996931.0,5047428.0,5094018.0,5129500.0,5159266.0,5178100.0,5214914.0,5241396.0,5259601.0,5287114.0,5322981.0,5360170.0,5400697.0,5417877.0,5428656.0,5436643.0,5445399.0,5480475.0,5511312.0,5585057.0,5643754.0
South East,E12000008,Aged 16 - 64,,,,,,,,,,,,4873486.0,4870745.0,4888551.0,4919839.0,4947839.0,4987679.0,5012979.0,5060196.0,5089296.0,5118517.0,5138049.0,5171546.0,5207503.0,5266296.0,5325115.0,5381984.0,5423395.0,5447741.0,5487698.0,5513564.0,5517414.0,5537561.0,5569698.0,5605826.0,5647544.0,5668630.0,5684385.0,5698794.0,5714263.0,5758118.0,5797558.0,5880425.0,5947376.0
South East,E12000008,Aged 18 - 24,,,,,,,,,,,,750109.0,720269.0,688852.0,663255.0,638970.0,630151.0,625934.0,634747.0,637666.0,651535.0,660001.0,674496.0,684717.0,694463.0,703790.0,718243.0,728778.0,734277.0,744608.0,753567.0,758857.0,762478.0,765528.0,765328.0,764022.0,757971.0,747849.0,735870.0,725372.0,723547.0,716160.0,722829.0,728533.0
South East,E12000008,Aged 65 and over,1147308.0,1153240.0,1150886.0,1152122.0,1178129.0,1198240.0,1213749.0,1225153.0,1234927.0,1239914.0,1245959.0,1252751.0,1259054.0,1263723.0,1272114.0,1278595.0,1284486.0,1290560.0,1295232.0,1301244.0,1310803.0,1318010.0,1326330.0,1335938.0,1347741.0,1354483.0,1372099.0,1398377.0,1428368.0,1461706.0,1495470.0,1556150.0,1602029.0,1643778.0,1671921.0,1699755.0,1722835.0,1745807.0,1772925.0,1791269.0,1816576.0,1847143.0,1876077.0,1910667.0
South East,E12000008,All ages,7243055.0,7273234.0,7302985.0,7360814.0,7413733.0,7468272.0,7505040.0,7550554.0,7568528.0,7598057.0,7629186.0,7656594.0,7673172.0,7711594.0,7762978.0,7800406.0,7853102.0,7888838.0,7955124.0,7990598.0,8023449.0,8045192.0,8087924.0,8133100.0,8202896.0,8270861.0,8351391.0,8426399.0,8490922.0,8577771.0,8652784.0,8731840.0,8809382.0,8893930.0,8969638.0,9053011.0,9105076.0,9150245.0,9193770.0,9225273.0,9295829.0,9392970.0,9529446.0,9642942.0
