region,region_code,age_band,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Kingston upon Hull, City of",E06000010,Aged 0 - 15,53027.0,51683.0,50730.0,50177.0,49831.0,49327.0,48471.0,48247.0,48173.0,47962.0,48340.0,48972.0,49622.0,50193.0,50857.0,51929.0,52623.0,53072.0,53608.0,53440.0,52928.0,53742.0,54912.0,55396.0
"Kingston upon Hull, City of",E06000010,Aged 16 - 59/64,153642.0,154930.0,157313.0,160503.0,163289.0,164396.0,165341.0,166342.0,165697.0,165753.0,165045.0,165673.0,165325.0,166096.0,167071.0,168015.0,169044.0,168542.0,167893.0,166250.0,164961.0,165649.0,168110.0,169295.0
"Kingston upon Hull, City of",E06000010,Aged 16 - 64,159195.0,160272.0,162662.0,165802.0,168585.0,169834.0,171349.0,172677.0,172310.0,172553.0,171876.0,172227.0,171732.0,172531.0,173501.0,174539.0,175737.0,175465.0,174925.0,173566.0,172470.0,173312.0,175905.0,177306.0
"Kingston upon Hull, City of",E06000010,Aged 18 - 24,26291.0,27466.0,29074.0,30848.0,32030.0,32224.0,32274.0,32721.0,32376.0,32173.0,31550.0,31627.0,30307.0,30076.0,29890.0,29430.0,29796.0,28916.0,27878.0,26267.0,25203.0,24247.0,24188.0,24558.0
"Kingston upon Hull, City of",E06000010,Aged 65 and over,37691.0,37508.0,37212.0,37070.0,36743.0,36336.0,35941.0,35822.0,35596.0,35659.0,35907.0,36886.0,37740.0,38172.0,38353.0,38870.0,39206.0,39686.0,40216.0,40585.0,41118.0,41714.0,42252.0,42699.0
"Kingston upon Hull, City of",E06000010,All ages,249913.0,249463.0,250604.0,253049.0,255159.0,255497.0,255761.0,256746.0,256079.0,256174.0,256123.0,258085.0,259094.0,260896.0,262711.0,265338.0,267566.0,268223.0,268749.0,267591.0,266516.0,268768.0,273069.0,275401.0
East Riding of Yorkshire,E06000011,Aged 0 - 15,59136.0,58994.0,58748.0,58362.0,57990.0,57497.0,57396.0,57030.0,56358.0,55977.0,55762.0,55708.0,55061.0,54791.0,54346.0,54434.0,54275.0,54248.0,54108.0,53909.0,53986.0,54507.0,55142.0,55350.0
East Riding of Yorkshire,E06000011,Aged 16 - 59/64,188302.0,190612.0,192536.0,194560.0,195403.0,195857.0,195567.0,195152.0,194130.0,193381.0,192848.0,190721.0,189129.0,188438.0,186332.0,186095.0,185186.0,184163.0,184105.0,185167.0,185430.0,186416.0,188243.0,190027.0
East Riding of Yorkshire,E06000011,Aged 16 - 64,197621.0,200104.0,202370.0,204818.0,206026.0,207083.0,208042.0,208389.0,207663.0,207166.0,206623.0,203578.0,201369.0,200359.0,198018.0,197820.0,196946.0,196095.0,196261.0,197518.0,198094.0,199567.0,201925.0,204130.0
East Riding of Yorkshire,E06000011,Aged 18 - 24,20852.0,21000.0,21797.0,22465.0,22849.0,23384.0,23511.0,23417.0,23429.0,23557.0,23925.0,23729.0,23600.0,23967.0,23313.0,23565.0,22511.0,21421.0,20799.0,21081.0,20667.0,20118.0,20187.0,20058.0
East Riding of Yorkshire,E06000011,Aged 65 and over,58097.0,59535.0,60751.0,61937.0,63252.0,64007.0,65427.0,67045.0,68727.0,70456.0,72288.0,75686.0,78142.0,80475.0,82371.0,84069.0,85476.0,86849.0,88575.0,89623.0,91065.0,92526.0,94170.0,96404.0
East Riding of Yorkshire,E06000011,All ages,314854.0,318633.0,321869.0,325117.0,327268.0,328587.0,330865.0,332464.0,332748.0,333599.0,334673.0,334972.0,334572.0,335625.0,334735.0,336323.0,336697.0,337192.0,338944.0,341050.0,343145.0,346600.0,351237.0,355884.0
North East Lincolnshire,E06000012,Aged 0 - 15,34797.0,34140.0,33631.0,32856.0,32185.0,31643.0,31132.0,30644.0,30286.0,30138.0,30243.0,30282.0,30252.0,30107.0,30001.0,30041.0,30159.0,30236.0,30017.0,29692.0,29361.0,29344.0,29574.0,29713.0
North East Lincolnshire,E06000012,Aged 16 - 59/64,92810.0,93306.0,94039.0,94781.0,95372.0,95571.0,95644.0,95819.0,95755.0,95722.0,95900.0,94865.0,94511.0,94082.0,93563.0,92903.0,92220.0,91456.0,90524.0,89767.0,89526.0,89529.0,89447.0,89829.0
North East Lincolnshire,E06000012,Aged 16 - 64,96992.0,97396.0,98157.0,98915.0,99532.0,99872.0,100330.0,100741.0,100764.0,100803.0,100979.0,99680.0,99133.0,98663.0,98108.0,97490.0,96880.0,96246.0,95466.0,94833.0,94787.0,95031.0,95151.0,95608.0
