region,region_code,year,metric,value
West Midlands,E12000005,2006,gdhi_total_mn_gbp,69601
West Midlands,E12000005,2007,gdhi_total_mn_gbp,71970
West Midlands,E12000005,2008,gdhi_total_mn_gbp,74461
West Midlands,E12000005,2009,gdhi_total_mn_gbp,76687
West Midlands,E12000005,2010,gdhi_total_mn_gbp,77988
West Midlands,E12000005,2011,gdhi_total_mn_gbp,79575
West Midlands,E12000005,2012,gdhi_total_mn_gbp,82167
West Midlands,E12000005,2013,gdhi_total_mn_gbp,85478
West Midlands,E12000005,2014,gdhi_total_mn_gbp,89217
West Midlands,E12000005,2015,gdhi_total_mn_gbp,94351
West Midlands,E12000005,2016,gdhi_total_mn_gbp,96898
West Midlands,E12000005,2017,gdhi_total_mn_gbp,99039
West Midlands,E12000005,2018,gdhi_total_mn_gbp,102703
West Midlands,E12000005,2019,gdhi_total_mn_gbp,106044
West Midlands,E12000005,2020,gdhi_total_mn_gbp,106937
West Midlands,E12000005,2021,gdhi_total_mn_gbp,110231
West Midlands,E12000005,2022,gdhi_total_mn_gbp,117212
East,E12000006,1997,gdhi_per_head_gbp,11164
East,E12000006,1998,gdhi_per_head_gbp,11340
East,E12000006,1999,gdhi_per_head_gbp,11819
East,E12000006,2000,gdhi_per_head_gbp,12441
East,E12000006,2001,gdhi_per_head_gbp,13008
East,E12000006,2002,gdhi_per_head_gbp,13333
East,E12000006,2003,gdhi_per_head_gbp,13598
East,E12000006,2004,gdhi_per_head_gbp,14026
East,E12000006,2005,gdhi_per_head_gbp,14532
East,E12000006,2006,gdhi_per_head_gbp,14977
East,E12000006,2007,gdhi_per_head_gbp,15609
East,E12000006,2008,gdhi_per_head_gbp,16119
East,E12000006,2009,gdhi_per_head_gbp,16536
East,E12000006,2010,gdhi_per_head_gbp,16657
East,E12000006,2011,gdhi_per_head_gbp,16778
East,E12000006,2012,gdhi_per_head_gbp,17370
East,E12000006,2013,gdhi_per_head_gbp,17984
East,E12000006,2014,gdhi_per_head_gbp,18537
East,E12000006,2015,gdhi_per_head_gbp,19582
East,E12000006,2016,gdhi_per_head_gbp,19882
East,E12000006,2017,gdhi_per_head_gbp,20439
East,E12000006,2018,gdhi_per_head_gbp,21185
East,E12000006,2019,gdhi_per_head_gbp,21787
East,E12000006,2020,gdhi_per_head_gbp,21613
East,E12000006,2021,gdhi_per_head_gbp,22377
East,E12000006,2022,gdhi_per_head_gbp,23661
East,E12000006,1997,gdhi_total_mn_gbp,58801
East,E12000006,1998,gdhi_total_mn_gbp,60124
East,E12000006,1999,gdhi_total_mn_gbp,63096
East,E12000006,2000,gdhi_total_mn_gbp,66870
East,E12000006,2001,gdhi_total_mn_gbp,70247
East,E12000006,2002,gdhi_total_mn_gbp,72434
East,E12000006,2003,gdhi_total_mn_gbp,74438
East,E12000006,2004,gdhi_total_mn_gbp,77263
East,E12000006,2005,gdhi_total_mn_gbp,80835
East,E12000006,2006,gdhi_total_mn_gbp,83967
East,E12000006,2007,gdhi_total_mn_gbp,88245
East,E12000006,2008,gdhi_total_mn_gbp,92015
East,E12000006,2009,gdhi_total_mn_gbp,95104
East,E12000006,2010,gdhi_total_mn_gbp,96736
East,E12000006,2011,gdhi_total_mn_gbp,98360
East,E12000006,2012,gdhi_total_mn_gbp,102743
East,E12000006,2013,gdhi_total_mn_gbp,107375
East,E12000006,2014,gdhi_total_mn_gbp,111953
East,E12000006,2015,gdhi_total_mn_gbp,119419
East,E12000006,2016,gdhi_total_mn_gbp,122496
East,E12000006,2017,gdhi_total_mn_gbp,126779
East,E12000006,2018,gdhi_total_mn_gbp,132141
East,E12000006,2019,gdhi_total_mn_gbp,136696
East,E12000006,2020,gdhi_total_mn_gbp,136115
East,E12000006,2021,gdhi_total_mn_gbp,142087
East,E12000006,2022,gdhi_total_mn_gbp,151461
London,E12000007,1997,gdhi_per_head_gbp,12898
London,E12000007,1998,gdhi_per_head_gbp,13329
London,E12000007,1999,gdhi_per_head_gbp,14169
London,E12000007,2000,gdhi_per_head_gbp,15207
London,E12000007,2001,gdhi_per_head_gbp,15765
London,E12000007,2002,gdhi_per_head_gbp,15982
London,E12000007,2003,gdhi_per_head_gbp,16664
London,E12000007,2004,gdhi_per_head_gbp,17569
London,E12000007,2005,gdhi_per_head_gbp,18587
London,E12000007,2006,gdhi_per_head_gbp,19521
London,E12000007,2007,gdhi_per_head_gbp,20924
London,E12000007,2008,gdhi_per_head_gbp,21540
London,E12000007,2009,gdhi_per_head_gbp,21431
London,E12000007,2010,gdhi_per_head_gbp,21575
London,E12000007,2011,gdhi_per_head_gbp,21391
London,E12000007,2012,gdhi_per_head_gbp,22698
London,E12000007,2013,gdhi_per_head_gbp,23906
London,E12000007,2014,gdhi_per_head_gbp,24890
London,E12000007,2015,gdhi_per_head_gbp,26652
London,E12000007,2016,gdhi_per_head_gbp,27099
London,E12000007,2017,gdhi_per_head_gbp,27599
London,E12000007,2018,gdhi_per_head_gbp,29104
London,E12000007,2019,gdhi_per_head_gbp,29719
London,E12000007,2020,gdhi_per_head_gbp,29245
London,E12000007,2021,gdhi_per_head_gbp,30662
London,E12000007,2022,gdhi_per_head_gbp,32330
London,E12000007,1997,gdhi_total_mn_gbp,90477
London,E12000007,1998,gdhi_total_mn_gbp,94173
London,E12000007,1999,gdhi_total_mn_gbp,101362
London,E12000007,2000,gdhi_total_mn_gbp,110047
London,E12000007,2001,gdhi_total_mn_gbp,115438
London,E12000007,2002,gdhi_total_mn_gbp,117894
London,E12000007,2003,gdhi_total_mn_gbp,123224
London,E12000007,2004,gdhi_total_mn_gbp,130588
London,E12000007,2005,gdhi_total_mn_gbp,139759
London,E12000007,2006,gdhi_total_mn_gbp,148319
London,E12000007,2007,gdhi_total_mn_gbp,160976
London,E12000007,2008,gdhi_total_mn_gbp,168277
London,E12000007,2009,gdhi_total_mn_gbp,170218
London,E12000007,2010,gdhi_total_mn_gbp,173927
London,E12000007,2011,gdhi_total_mn_gbp,175499
London,E12000007,2012,gdhi_total_mn_gbp,188863
London,E12000007,2013,gdhi_total_mn_gbp,201744
London,E12000007,2014,gdhi_total_mn_gbp,212736
London,E12000007,2015,gdhi_total_mn_gbp,230795
London,E12000007,2016,gdhi_total_mn_gbp,236948
London,E12000007,2017,gdhi_total_mn_gbp,242212
London,E12000007,2018,gdhi_total_mn_gbp,257085
London,E12000007,2019,gdhi_total_mn_gbp,264193
London,E12000007,2020,gdhi_total_mn_gbp,259315
London,E12000007,2021,gdhi_total_mn_gbp,269968
London,E12000007,2022,gdhi_total_mn_gbp,286734
South East,E12000008,1997,gdhi_per_head_gbp,12683
South East,E12000008,1998,gdhi_per_head_gbp,12905
South East,E12000008,1999,gdhi_per_head_gbp,13339
South East,E12000008,2000,gdhi_per_head_gbp,14039
South East,E12000008,2001,gdhi_per_head_gbp,14504
South East,E12000008,2002,gdhi_per_head_gbp,14840
South East,E12000008,2003,gdhi_per_head_gbp,15047
South East,E12000008,2004,gdhi_per_head_gbp,15627
South East,E12000008,2005,gdhi_per_head_gbp,16185
South East,E12000008,2006,gdhi_per_head_gbp,16918
South East,E12000008,2007,gdhi_per_head_gbp,17730
South East,E12000008,2008,gdhi_per_head_gbp,18086
South East,E12000008,2009,gdhi_per_head_gbp,18443
South East,E12000008,2010,gdhi_per_head_gbp,18484
South East,E12000008,2011,gdhi_per_head_gbp,18661
South East,E12000008,2012,gdhi_per_head_gbp,19310
South East,E12000008,2013,gdhi_per_head_gbp,20083
South East,E12000008,2014,gdhi_per_head_gbp,20575
South East,E12000008,2015,gdhi_per_head_gbp,21790
South East,E12000008,2016,gdhi_per_head_gbp,22082
South East,E12000008,2017,gdhi_per_head_gbp,22624
South East,E12000008,2018,gdhi_per_head_gbp,23405
South East,E12000008,2019,gdhi_per_head_gbp,24148
South East,E12000008,2020,gdhi_per_head_gbp,23816
South East,E12000008,2021,gdhi_per_head_gbp,24606
South East,E12000008,2022,gdhi_per_head_gbp,26058
South East,E12000008,1997,gdhi_total_mn_gbp,99604
South East,E12000008,1998,gdhi_total_mn_gbp,101808
South East,E12000008,1999,gdhi_total_mn_gbp,106113
South East,E12000008,2000,gdhi_total_mn_gbp,112177
South East,E12000008,2001,gdhi_total_mn_gbp,116375
South East,E12000008,2002,gdhi_total_mn_gbp,119391
South East,E12000008,2003,gdhi_total_mn_gbp,121701
South East,E12000008,2004,gdhi_total_mn_gbp,127094
South East,E12000008,2005,gdhi_total_mn_gbp,132765
South East,E12000008,2006,gdhi_total_mn_gbp,139927
South East,E12000008,2007,gdhi_total_mn_gbp,148072
South East,E12000008,2008,gdhi_total_mn_gbp,152399
South East,E12000008,2009,gdhi_total_mn_gbp,156600
South East,E12000008,2010,gdhi_total_mn_gbp,158556
South East,E12000008,2011,gdhi_total_mn_gbp,161471
South East,E12000008,2012,gdhi_total_mn_gbp,168611
