region_code,metric,year,value,ci_lower,ci_upper,ci_width,cv
E12000004,gdhi_total_mn_gbp,2040,197255.91901994153,159759.98524223958,243387.03457774187,83627.04933550229,0.2119760201645661
E12000004,gdhi_total_mn_gbp,2041,204736.00446898548,164809.38575141857,254162.73174203894,89353.34599062038,0.21821600509976766
E12000004,gdhi_total_mn_gbp,2042,212496.7586397985,170044.4365809353,265367.39152887446,95322.95494793917,0.22429272699994526
E12000004,gdhi_total_mn_gbp,2043,220547.70149606292,175469.6618334919,277018.25945803453,101548.59762454263,0.23021912478728646
E12000004,gdhi_total_mn_gbp,2044,228898.67517204734,181089.88244926068,289133.0480638419,108043.1656145812,0.23600653331298796
E12000004,gdhi_total_mn_gbp,2045,237559.8528487021,186910.19830287964,301729.9774008389,114819.77909795928,0.24166494826692386
E12000004,gdhi_total_mn_gbp,2046,246541.74792517038,192935.97506380454,314827.81154020486,121891.83647640032,0.24720323738719613
E12000004,gdhi_total_mn_gbp,2047,255855.22348689102,199172.8346938403,328445.8921911691,129273.05749732879,0.2526293107006905
E12000004,gdhi_total_mn_gbp,2048,265511.5020722924,205626.64876443904,342604.17027465015,136977.5215102111,0.25795025910575325
E12000004,gdhi_total_mn_gbp,2049,275522.17574065115,212303.53399172463,357323.23606221844,145019.7020704938,0.2631724682063355
E12000004,gdhi_total_mn_gbp,2050,285899.21644435194,219209.8495401241,372624.3483419953,153414.49880187123,0.2683017125927174
E12000004,nominal_gva_mn_gbp,2024,153531.82514201413,142961.32556655654,164669.6043389165,21708.278772359976,0.07069634830524621
E12000004,nominal_gva_mn_gbp,2025,174260.35285928627,157580.85324267484,192454.87364174429,34874.02039906944,0.1000629799803915
E12000004,nominal_gva_mn_gbp,2026,202193.67587469565,178778.64334306237,228378.2186898799,49599.575346817524,0.1226536268561525
E12000004,nominal_gva_mn_gbp,2027,238612.8436855532,207022.0154689685,274666.8732288021,67644.85775983363,0.14174605338716975
E12000004,nominal_gva_mn_gbp,2028,285913.9144331701,243955.89967039495,334652.78271661035,90696.8830462154,0.15860872533262982
E12000004,nominal_gva_mn_gbp,2029,348689.3935842497,293064.53762380756,414332.86949920363,121268.33187539608,0.17389162691307306
E12000004,nominal_gva_mn_gbp,2030,435378.2225142114,360883.06876014906,524568.3451942089,163685.27643405984,0.18798055112726372
E12000004,nominal_gva_mn_gbp,2031,561028.7883892753,459068.2664276633,684743.9507662919,225675.68433862866,0.20112665250792922
E12000004,nominal_gva_mn_gbp,2032,752516.1377328307,608332.6074731469,929663.3768853556,321330.7694122087,0.21350423818172803
E12000004,nominal_gva_mn_gbp,2033,1059236.4824223472,846518.980199581,1323684.0741084197,477165.0939088387,0.22524011485028309
E12000004,nominal_gva_mn_gbp,2034,1576286.707665063,1246065.64268414,1991428.3616833342,745362.7189991942,0.23642993224985454
E12000004,nominal_gva_mn_gbp,2035,2497537.8737783246,1953847.3507902313,3188370.029587872,1234522.6787976406,0.24714793952854663
E12000004,nominal_gva_mn_gbp,2036,4245144.487195309,3287977.839951484,5473829.350611326,2185851.5106598423,0.25745313466397407
E12000004,nominal_gva_mn_gbp,2037,7809734.025526027,5990934.0668992475,10167475.389272343,4176541.322373096,0.2673933138261891
E12000004,nominal_gva_mn_gbp,2038,15722248.252090298,11949275.534883795,20659647.457546283,8710371.922662487,0.27700783574335275
E12000004,nominal_gva_mn_gbp,2039,15231888.705917204,11473121.639541496,20195801.828083657,8722680.188542161,0.28632956677111293
E12000004,nominal_gva_mn_gbp,2040,22911894.00204588,17108416.102061436,30644134.61294619,13535718.510884754,0.29538628516865745
E12000004,nominal_gva_mn_gbp,2041,39494222.818386875,29242396.73115562,53270817.570951805,24028420.839796185,0.3042017176827385
