region_code,metric,year,value,ci_lower,ci_upper,ci_width,cv
TLJ3,gdhi_per_head_gbp,2040,43581.58699164343,36976.13418206744,49977.50082211538,13001.366640047934,0.1491612345661126
TLJ3,productivity_gbp_per_job,2041,158071.35328572744,115665.70460978993,200630.79580232556,84965.09119253563,0.26875550005241616
TLJ3,employment_rate,2041,45.728140568270334,44.55871010445406,46.92514633473992,2.3664362302858635,0.02587505418849107
TLJ3,income_per_worker_gbp,2041,98457.15331281537,81032.60843296432,115724.00491288859,34691.39647992427,0.17617509400106113
TLJ3,gdhi_per_head_gbp,2041,44979.78027289992,38132.975872395604,51782.64006537961,13649.664192984004,0.15173111240394224
TLJ3,productivity_gbp_per_job,2042,163787.97084141267,118989.35480869237,209452.53033471215,90463.17552601978,0.2761594000502349
TLJ3,employment_rate,2042,45.74664860585832,44.56365411792433,47.00508915903657,2.4414350411122427,0.026684304921952166
TLJ3,income_per_worker_gbp,2042,101932.32071375674,83981.29984817836,120201.09269711922,36219.792848940866,0.17766588946136228
TLJ3,gdhi_per_head_gbp,2042,46509.67144498182,39197.40637265535,53361.78863712835,14164.382264473003,0.15227351456598254
TLJ3,productivity_gbp_per_job,2043,170928.4775714242,123993.70269976562,218358.82780864494,94365.12510887932,0.27603687357903217
TLJ3,employment_rate,2043,45.74602437616272,44.509801821709075,47.046588188712626,2.5367863670035504,0.027726850601747764
TLJ3,income_per_worker_gbp,2043,104995.26391001153,85853.46641227101,124581.683662968,38728.217250696995,0.1844284009033486
TLJ3,gdhi_per_head_gbp,2043,48147.630373391046,40234.76602545219,55385.235969669026,15150.469944216835,0.1573334951971987
TLJ3,productivity_gbp_per_job,2044,176545.33282216117,126583.29471287898,226289.1123774092,99705.81766453023,0.28238021382577855
TLJ3,employment_rate,2044,45.75102159894002,44.46895857601383,47.07486574151243,2.6059071654986,0.02847922379026149
TLJ3,income_per_worker_gbp,2044,108511.5648429145,88565.68770464459,129421.22758850733,40855.539883862744,0.18825431161649356
TLJ3,gdhi_per_head_gbp,2044,49686.09334772208,41099.43171734671,57561.21695801668,16461.785240669968,0.16565787458337855
TLJ3,productivity_gbp_per_job,2045,183840.77285692832,129667.93653764886,237240.09646477434,107572.15992712548,0.2925688307752114
TLJ3,employment_rate,2045,45.721610918965474,44.4356928969823,47.09341808950131,2.6577251925190097,0.02906421207718839
TLJ3,income_per_worker_gbp,2045,112124.00806109491,90746.97836270253,133724.99575078156,42978.017388079024,0.19165394696138968
TLJ3,gdhi_per_head_gbp,2045,51269.20815854328,42501.608683812345,59743.849235492686,17242.24055168034,0.16815395800887914
TLJ3,productivity_gbp_per_job,2046,192084.9708254194,133293.93620142297,249421.5125075155,116127.57630609252,0.3022817865631913
TLJ3,employment_rate,2046,45.3585993719888,44.03553423455022,46.75761397975584,2.722079745205619,0.030006214729886908
TLJ3,income_per_worker_gbp,2046,116933.25706127755,93697.50812398463,140375.42138547267,46677.91326148804,0.19959211961840337
TLJ3,gdhi_per_head_gbp,2046,53047.20767097364,43796.547827988405,61966.95121052755,18170.403382539145,0.17126635105132615
TLJ3,productivity_gbp_per_job,2047,201585.39538014046,139765.0830574632,263533.9548801465,123768.87182268329,0.30698868732351775
TLJ3,employment_rate,2047,44.83646181660895,43.553299060303985,46.2735585585726,2.720259498268618,0.030335349713756194
TLJ3,income_per_worker_gbp,2047,122413.10181964016,97239.4622236349,146244.98810331093,49005.52587967603,0.20016454591551533
TLJ3,gdhi_per_head_gbp,2047,54787.798058578206,44961.71992119497,63923.30318021539,18961.583259020423,0.17304567742206953
TLJ3,productivity_gbp_per_job,2048,211476.46904397538,146397.90926877302,277830.0890641444,131432.1797953714,0.31074894618190546
TLJ3,employment_rate,2048,44.33265222464235,42.97029318648313,45.73994172939943,2.7696485429163005,0.031237117608957178
TLJ3,income_per_worker_gbp,2048,127493.96104183936,101696.02076425563,153779.225348046,52083.20458379036,0.20425753564397592
TLJ3,gdhi_per_head_gbp,2048,56610.39265946421,46491.7913288268,66324.27363719173,19832.482308364924,0.17516644362163156
