region_code,region_name,region_level,metric_id,period,value,unit,freq,source,vintage,geo_hierarchy,metric,year,region,data_type,ci_lower,ci_upper,method,quality_metrics,itl1_code
TLC4,"Northumberland, Durham and Tyne & Wear",ITL2,population_total,2016.0,1947330.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2016,"Northumberland, Durham and Tyne & Wear",historical,,,,,E12000001
TLC4,"Northumberland, Durham and Tyne & Wear",ITL2,population_total,2017.0,1951097.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2017,"Northumberland, Durham and Tyne & Wear",historical,,,,,E12000001
TLC4,"Northumberland, Durham and Tyne & Wear",ITL2,population_total,2018.0,1955852.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2018,"Northumberland, Durham and Tyne & Wear",historical,,,,,E12000001
TLC4,"Northumberland, Durham and Tyne & Wear",ITL2,population_total,2019.0,1962050.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2019,"Northumberland, Durham and Tyne & Wear",historical,,,,,E12000001
TLC4,"Northumberland, Durham and Tyne & Wear",ITL2,population_total,2020.0,1962979.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2020,"Northumberland, Durham and Tyne & Wear",historical,,,,,E12000001
TLC4,"Northumberland, Durham and Tyne & Wear",ITL2,population_total,2021.0,1969128.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2021,"Northumberland, Durham and Tyne & Wear",historical,,,,,E12000001
TLC4,"Northumberland, Durham and Tyne & Wear",ITL2,population_total,2022.0,1993639.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2022,"Northumberland, Durham and Tyne & Wear",historical,,,,,E12000001
TLC4,"Northumberland, Durham and Tyne & Wear",ITL2,population_total,2023.0,2006564.875,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2023,"Northumberland, Durham and Tyne & Wear",historical,,,,,E12000001
TLC4,"Northumberland, Durham and Tyne & Wear",ITL2,population_total,2024.0,2006564.875,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2024,"Northumberland, Durham and Tyne & Wear",historical,,,,,E12000001
TLD1,Cumbria,ITL2,population_total,1991.0,486263.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,1991,Cumbria,historical,,,,,E12000002
TLD1,Cumbria,ITL2,population_total,1992.0,487245.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,1992,Cumbria,historical,,,,,E12000002
TLD1,Cumbria,ITL2,population_total,1993.0,487165.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,1993,Cumbria,historical,,,,,E12000002
TLD1,Cumbria,ITL2,population_total,1994.0,487002.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,1994,Cumbria,historical,,,,,E12000002
TLD1,Cumbria,ITL2,population_total,1995.0,486791.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,1995,Cumbria,historical,,,,,E12000002
TLD1,Cumbria,ITL2,population_total,1996.0,486746.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,1996,Cumbria,historical,,,,,E12000002
TLD1,Cumbria,ITL2,population_total,1997.0,488170.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,1997,Cumbria,historical,,,,,E12000002
TLD1,Cumbria,ITL2,population_total,1998.0,489033.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,1998,Cumbria,historical,,,,,E12000002
TLD1,Cumbria,ITL2,population_total,1999.0,488145.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,1999,Cumbria,historical,,,,,E12000002
TLD1,Cumbria,ITL2,population_total,2000.0,487602.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2000,Cumbria,historical,,,,,E12000002
TLD1,Cumbria,ITL2,population_total,2001.0,487795.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2001,Cumbria,historical,,,,,E12000002
