region_code,metric,year,value,ci_lower,ci_upper,ci_width
E12000004,unemployment_rate_pct,2026,3.9109523809523785,1.3508645268727455,6.471040235032012,5.120175708159266
E12000004,unemployment_rate_pct,2027,3.7890043290043267,0.16849336489827627,7.409515293110378,7.241021928212101
E12000004,unemployment_rate_pct,2028,3.667056277056275,0.0,8.101258512162177,8.101258512162177
E12000004,unemployment_rate_pct,2029,3.5451082251082227,0.0,8.665283933267489,8.665283933267489
E12000004,unemployment_rate_pct,2030,3.423160173160171,0.0,9.147690643253792,9.147690643253792
E12000004,unemployment_rate_pct,2031,3.3012121212121186,0.0,9.572121060403976,9.572121060403976
E12000004,unemployment_rate_pct,2032,3.179264069264067,0.0,9.952619865635791,9.952619865635791
E12000004,unemployment_rate_pct,2033,3.057316017316015,0.0,10.298337945528116,10.298337945528116
E12000004,unemployment_rate_pct,2034,2.9353679653679627,0.0,10.615631527606862,10.615631527606862
E12000004,unemployment_rate_pct,2035,2.813419913419911,0.0,10.90912854244434,10.90912854244434
E12000004,unemployment_rate_pct,2036,2.6914718614718587,0.0,11.182322703800127,11.182322703800127
E12000004,unemployment_rate_pct,2037,2.569523809523807,0.0,11.43792827973561,11.43792827973561
E12000004,unemployment_rate_pct,2038,2.4475757575757546,0.0,11.678103785152441,11.678103785152441
E12000004,unemployment_rate_pct,2039,2.325627705627703,0.0,11.90459933563501,11.90459933563501
E12000004,unemployment_rate_pct,2040,2.203679653679651,0.0,12.118857277357954,12.118857277357954
E12000004,unemployment_rate_pct,2041,2.081731601731599,0.0,12.322083018050131,12.322083018050131
E12000004,unemployment_rate_pct,2042,1.9597835497835465,0.0,12.515296183014726,12.515296183014726
E12000004,unemployment_rate_pct,2043,1.8378354978354947,0.0,12.699368390153644,12.699368390153644
E12000004,unemployment_rate_pct,2044,1.715887445887443,0.0,12.875051688406467,12.875051688406467
E12000004,unemployment_rate_pct,2045,1.593939393939391,0.0,13.043000334126635,13.043000334126635
E12000004,unemployment_rate_pct,2046,1.4719913419913393,0.0,13.203787719048318,13.203787719048318
E12000004,unemployment_rate_pct,2047,1.3500432900432866,0.0,13.357919707350943,13.357919707350943
E12000004,unemployment_rate_pct,2048,1.2280952380952348,0.0,13.505845271140352,13.505845271140352
E12000004,unemployment_rate_pct,2049,1.106147186147183,0.0,13.647965064530899,13.647965064530899
E12000004,unemployment_rate_pct,2050,0.9841991341991312,0.0,13.784638404597295,13.784638404597295
E12000005,emp_total_jobs,2025,2733092.012037562,2728910.545310298,2737273.478764827,8362.933454528917
E12000005,emp_total_jobs,2026,2758607.83137437,2752639.1368128425,2764576.525935896,11937.389123053756
E12000005,emp_total_jobs,2027,2778710.5090686604,2771347.11025102,2786073.9078862993,14726.79763527913
E12000005,emp_total_jobs,2028,2799782.9125583465,2791215.9129543374,2808349.9121623565,17133.999208019115
E12000005,emp_total_jobs,2029,2821197.0425837315,2811545.5870398656,2830848.498127598,19302.911087732296
E12000005,emp_total_jobs,2030,2839219.594313972,2828579.413670456,2849859.7749574897,21280.36128703365
