metric,year,value,ci_lower,ci_upper,ci_width
uk_gdhi_total_mn_gbp,2031,2264300.1927848514,2147947.8509787065,2386955.2329724287,239007.38199372217
uk_gdhi_total_mn_gbp,2032,2353754.3384303735,2222028.6149728214,2493288.992026581,271260.3770537595
uk_gdhi_total_mn_gbp,2033,2446688.908384312,2298390.0611206708,2604556.4309010133,306166.36978034256
uk_gdhi_total_mn_gbp,2034,2543237.3822012986,2377089.271536701,2720998.516830945,343909.245294244
uk_gdhi_total_mn_gbp,2035,2643538.290678589,2458187.041508013,2842865.321589524,384678.280081511
uk_gdhi_total_mn_gbp,2036,2747735.40469776,2541747.2137050605,2970417.2836385146,428670.06993345404
uk_gdhi_total_mn_gbp,2037,2855977.9310503164,2627836.279323689,3103926.2250940837,476089.9457703945
uk_gdhi_total_mn_gbp,2038,2968420.715502976,2716523.1364799924,3243676.2366931154,527153.100213123
uk_gdhi_total_mn_gbp,2039,3085224.4533677725,2807878.9451278658,3389964.4940800657,582085.5489522
uk_gdhi_total_mn_gbp,2040,3206555.907851904,2901977.0433473773,3543102.042709431,641124.9993620538
uk_gdhi_total_mn_gbp,2041,3332588.136472059,2998892.9038861734,3703414.5744125172,704521.6705263439
uk_gdhi_total_mn_gbp,2042,3463500.7258282946,3098704.1178602283,3871243.2105640164,772539.0927037881
uk_gdhi_total_mn_gbp,2043,3599480.0350435073,3201490.397272095,4046945.302011991,845454.9047398958
uk_gdhi_total_mn_gbp,2044,3740719.448185267,3307333.5909064813,4230895.253053763,923561.6621472817
uk_gdhi_total_mn_gbp,2045,3887419.6359986775,3416317.70998271,4423485.374966663,1007167.6649839533
uk_gdhi_total_mn_gbp,2046,4039788.8272906174,3528528.9611118427,4625126.77349818,1096597.8123863377
uk_gdhi_total_mn_gbp,2047,4198043.090317927,3644055.7848722707,4836250.27402916,1192194.4891568893
uk_gdhi_total_mn_gbp,2048,4362406.624545483,3762988.8988297554,5057307.387698273,1294318.4888685178
uk_gdhi_total_mn_gbp,2049,4533112.063152682,3885421.3441751455,5288771.321521329,1403349.9773461833
uk_gdhi_total_mn_gbp,2050,4710400.786680967,4011448.5353934625,5531138.035400095,1519689.5000066329
uk_nominal_gva_mn_gbp,2024,2526823.1971129803,2399109.8728610044,2655002.2479396374,255892.37507863296
uk_nominal_gva_mn_gbp,2025,2608434.3384490237,2437939.7040105844,2780740.689706449,342800.98569586454
uk_nominal_gva_mn_gbp,2026,2682256.5458375113,2475957.7756435815,2893240.1756079337,417282.39996435214
uk_nominal_gva_mn_gbp,2027,2750949.8111481816,2507778.8378420193,3003724.179835636,495945.3419936169
uk_nominal_gva_mn_gbp,2028,2816695.550177802,2534095.956120164,3116105.304900542,582009.3487803778
uk_nominal_gva_mn_gbp,2029,2881192.433299404,2557005.022899294,3231659.2990273405,674654.2761280467
uk_nominal_gva_mn_gbp,2030,2945711.3969669505,2578573.7551074126,3350655.9612746187,772082.2061672062
uk_nominal_gva_mn_gbp,2031,3011172.4423030997,2600409.098747367,3473047.4150495743,872638.3163022073
uk_nominal_gva_mn_gbp,2032,3078222.3880016627,2623605.9537211997,3598751.7805724125,975145.8268512129
uk_nominal_gva_mn_gbp,2033,3147303.6696645697,2648831.0933648935,3727750.35729917,1078919.2639342765
uk_nominal_gva_mn_gbp,2034,3218710.7390385508,2676437.3142622965,3860102.7993000676,1183665.485037771
uk_nominal_gva_mn_gbp,2035,3292634.0373996557,2706566.5780002982,3995931.5707746707,1289364.9927743725
uk_nominal_gva_mn_gbp,2036,3369193.0671374546,2739229.9339578766,4135399.5217363993,1396169.5877785226
uk_nominal_gva_mn_gbp,2037,3448460.5830746507,2774364.235674258,4278690.279370979,1504326.0436967216
uk_nominal_gva_mn_gbp,2038,3530479.889003206,2811869.8957085395,4425994.272686877,1614124.3769783378
uk_nominal_gva_mn_gbp,2039,3615029.7407237636,2852265.478203132,4576374.93120715,1724109.4530040184
uk_nominal_gva_mn_gbp,2040,3702347.6184461163,2894467.795458347,4731428.243332098,1836960.4478737512
uk_nominal_gva_mn_gbp,2041,3792496.3693901747,2938505.8203292484,4891297.195134582,1952791.3748053336
uk_nominal_gva_mn_gbp,2042,3885513.9649577825,2984377.980972157,5056110.653934182,2071732.6729620248
uk_nominal_gva_mn_gbp,2043,3981425.4804095794,3032066.1391551564,5225991.224867366,2193925.08571221
uk_nominal_gva_mn_gbp,2044,4080250.9742507655,3081544.6000073627,5401060.743855252,2319516.1438478893
uk_nominal_gva_mn_gbp,2045,4182010.5314920694,3132785.7761387727,5581444.036596459,2448658.2604576866
uk_nominal_gva_mn_gbp,2046,4286727.367614476,3185763.626550428,5767271.4091417715,2581507.7825913434
uk_nominal_gva_mn_gbp,2047,4394429.625049459,3240455.6354162307,5958680.219934125,2718224.584517895
uk_nominal_gva_mn_gbp,2048,4505151.303997262,3296843.8478461984,6155815.798225785,2858971.9503795863
uk_nominal_gva_mn_gbp,2049,4618932.634003762,3354915.3086560634,6358831.909446757,3003916.600790694
uk_nominal_gva_mn_gbp,2050,4735820.096764663,3414662.133352375,6567890.918397253,3153228.7850448783
uk_population_16_64,2025,43769708.36074814,43541872.93530452,43997543.78619175,455670.8508872241
uk_population_16_64,2026,43919376.44946684,43636336.86867315,44202416.03026053,566079.1615873799
