region,region_code,metric,year,forecast_value,method,ci_lower,ci_upper
South East,E12000008,gdhi_total_mn_gbp,2026,284542.4298305974,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
South East,E12000008,gdhi_total_mn_gbp,2027,294340.9433547893,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
South East,E12000008,gdhi_total_mn_gbp,2028,304463.3581739803,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
South East,E12000008,gdhi_total_mn_gbp,2029,314920.01335497765,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
South East,E12000008,gdhi_total_mn_gbp,2030,325721.5678372938,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
South West,E12000009,gdhi_per_head_gbp,2023,23269.714515117954,"arima(1, 1, 1)_log_lb_p=1.000",22594.790304074835,23964.799244781596
South West,E12000009,gdhi_per_head_gbp,2024,23945.724553536304,"arima(1, 1, 1)_log_lb_p=1.000",22934.485287082643,25001.551908242967
South West,E12000009,gdhi_per_head_gbp,2025,24640.514814100177,"arima(1, 1, 1)_log_lb_p=1.000",23328.398343546283,26026.431877688574
South West,E12000009,gdhi_per_head_gbp,2026,25354.58216364063,"arima(1, 1, 1)_log_lb_p=1.000",23750.375057958143,27067.144629254995
South West,E12000009,gdhi_per_head_gbp,2027,26088.43592458706,"arima(1, 1, 1)_log_lb_p=1.000",24190.847141781283,28134.876178675586
South West,E12000009,gdhi_per_head_gbp,2028,26842.598168927343,"arima(1, 1, 1)_log_lb_p=1.000",24645.150025165836,29235.978507850577
South West,E12000009,gdhi_per_head_gbp,2029,27617.604018644786,"arima(1, 1, 1)_log_lb_p=1.000",25110.637776913358,30374.857799586367
South West,E12000009,gdhi_per_head_gbp,2030,28414.001952764178,"arima(1, 1, 1)_log_lb_p=1.000",25585.65735249032,31555.003486869737
South West,E12000009,gdhi_total_mn_gbp,2023,135665.97261974396,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
South West,E12000009,gdhi_total_mn_gbp,2024,141033.01417434,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
South West,E12000009,gdhi_total_mn_gbp,2025,145983.3322632725,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
South West,E12000009,gdhi_total_mn_gbp,2026,151096.8485369347,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
South West,E12000009,gdhi_total_mn_gbp,2027,156378.6233349833,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
South West,E12000009,gdhi_total_mn_gbp,2028,161833.8644425737,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
South West,E12000009,gdhi_total_mn_gbp,2029,167467.9311158208,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
South West,E12000009,gdhi_total_mn_gbp,2030,173286.33820972894,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
Northern Ireland,N92000002,gdhi_per_head_gbp,2023,19680.28822084716,"arima(1, 1, 0)_log_lb_p=1.000",19052.070233192957,20329.22090434185
Northern Ireland,N92000002,gdhi_per_head_gbp,2024,20618.420052296762,"arima(1, 1, 0)_log_lb_p=1.000",19232.5968357023,22104.10009031053
Northern Ireland,N92000002,gdhi_per_head_gbp,2025,21498.222444016916,"arima(1, 1, 0)_log_lb_p=1.000",19221.75900683633,24044.2910603581
Northern Ireland,N92000002,gdhi_per_head_gbp,2026,22319.590415123464,"arima(1, 1, 0)_log_lb_p=1.000",19063.0351007763,26132.465982742942
Northern Ireland,N92000002,gdhi_per_head_gbp,2027,23083.292132987513,"arima(1, 1, 0)_log_lb_p=1.000",18790.528135358763,28356.753565333984
Northern Ireland,N92000002,gdhi_per_head_gbp,2028,23790.788884896396,"arima(1, 1, 0)_log_lb_p=1.000",18431.6687032678,30708.10597118437
Northern Ireland,N92000002,gdhi_per_head_gbp,2029,24444.07363014141,"arima(1, 1, 0)_log_lb_p=1.000",18008.747872425032,33179.02720769861
Northern Ireland,N92000002,gdhi_per_head_gbp,2030,25045.529797017927,"arima(1, 1, 0)_log_lb_p=1.000",17539.891962050806,35762.96616709434
Northern Ireland,N92000002,gdhi_total_mn_gbp,2023,37793.67125412691,"arima(1, 1, 0)_log_lb_p=1.000_derived",,
Northern Ireland,N92000002,gdhi_total_mn_gbp,2024,39791.13178156948,"arima(1, 1, 0)_log_lb_p=1.000_derived",,
Northern Ireland,N92000002,gdhi_total_mn_gbp,2025,41693.24152985595,"arima(1, 1, 0)_log_lb_p=1.000_derived",,
Northern Ireland,N92000002,gdhi_total_mn_gbp,2026,43498.12728690877,"arima(1, 1, 0)_log_lb_p=1.000_derived",,
Northern Ireland,N92000002,gdhi_total_mn_gbp,2027,45205.62267299897,"arima(1, 1, 0)_log_lb_p=1.000_derived",,
Northern Ireland,N92000002,gdhi_total_mn_gbp,2028,46816.95530644741,"arima(1, 1, 0)_log_lb_p=1.000_derived",,
Northern Ireland,N92000002,gdhi_total_mn_gbp,2029,48334.46042786167,"arima(1, 1, 0)_log_lb_p=1.000_derived",,
Northern Ireland,N92000002,gdhi_total_mn_gbp,2030,49761.325533117066,"arima(1, 1, 0)_log_lb_p=1.000_derived",,
Scotland,S92000003,gdhi_per_head_gbp,2023,21568.076526519948,"arima(1, 1, 2)_log_lb_p=1.000",20991.359473140994,22160.638316400305
Scotland,S92000003,gdhi_per_head_gbp,2024,22172.159111878853,"arima(1, 1, 2)_log_lb_p=1.000",21115.405831334647,23281.79925166039
Scotland,S92000003,gdhi_per_head_gbp,2025,22791.14626673236,"arima(1, 1, 2)_log_lb_p=1.000",21322.828943376182,24360.573802424493
Scotland,S92000003,gdhi_per_head_gbp,2026,23425.349760908408,"arima(1, 1, 2)_log_lb_p=1.000",21554.733810945145,25458.30610732231
Scotland,S92000003,gdhi_per_head_gbp,2027,24075.086493238403,"arima(1, 1, 2)_log_lb_p=1.000",21794.933802516032,26593.78527637461
Scotland,S92000003,gdhi_per_head_gbp,2028,24740.678545341558,"arima(1, 1, 2)_log_lb_p=1.000",22036.470889362532,27776.733305304264
Scotland,S92000003,gdhi_per_head_gbp,2029,25422.453235375022,"arima(1, 1, 2)_log_lb_p=1.000",22275.699745337886,29013.729574986544
Scotland,S92000003,gdhi_per_head_gbp,2030,26120.743171736853,"arima(1, 1, 2)_log_lb_p=1.000",22510.473858212616,30310.03381543266
Scotland,S92000003,gdhi_total_mn_gbp,2023,118410.89693824716,"arima(1, 1, 2)_log_lb_p=1.000_derived",,
Scotland,S92000003,gdhi_total_mn_gbp,2024,121783.32483982292,"arima(1, 1, 2)_log_lb_p=1.000_derived",,
Scotland,S92000003,gdhi_total_mn_gbp,2025,125240.70448626389,"arima(1, 1, 2)_log_lb_p=1.000_derived",,
Scotland,S92000003,gdhi_total_mn_gbp,2026,128784.86272515048,"arima(1, 1, 2)_log_lb_p=1.000_derived",,
Scotland,S92000003,gdhi_total_mn_gbp,2027,132417.65776169853,"arima(1, 1, 2)_log_lb_p=1.000_derived",,
Scotland,S92000003,gdhi_total_mn_gbp,2028,136140.9795194365,"arima(1, 1, 2)_log_lb_p=1.000_derived",,
Scotland,S92000003,gdhi_total_mn_gbp,2029,139956.7500015085,"arima(1, 1, 2)_log_lb_p=1.000_derived",,
Scotland,S92000003,gdhi_total_mn_gbp,2030,143866.92365253164,"arima(1, 1, 2)_log_lb_p=1.000_derived",,
Wales,W92000004,gdhi_per_head_gbp,2023,19145.9922694866,"arima(1, 1, 1)_log_lb_p=1.000",18649.812714569387,19655.3727157203
Wales,W92000004,gdhi_per_head_gbp,2024,19651.823482572436,"arima(1, 1, 1)_log_lb_p=1.000",18887.10771789202,20447.5016481395
Wales,W92000004,gdhi_per_head_gbp,2025,20169.744616702843,"arima(1, 1, 1)_log_lb_p=1.000",19151.841805667427,21241.74802773419
Wales,W92000004,gdhi_per_head_gbp,2026,20700.01118189095,"arima(1, 1, 1)_log_lb_p=1.000",19426.429156164955,22057.08828348566
Wales,W92000004,gdhi_per_head_gbp,2027,21242.88328545337,"arima(1, 1, 1)_log_lb_p=1.000",19704.582475009556,22901.276434134405
Wales,W92000004,gdhi_per_head_gbp,2028,21798.625697338033,"arima(1, 1, 1)_log_lb_p=1.000",19983.29302202958,23778.8677656284
Wales,W92000004,gdhi_per_head_gbp,2029,22367.50791604307,"arima(1, 1, 1)_log_lb_p=1.000",20260.877483475328,24693.175840103468
Wales,W92000004,gdhi_per_head_gbp,2030,22949.804235126514,"arima(1, 1, 1)_log_lb_p=1.000",20536.292566804317,25646.961968296037
Wales,W92000004,gdhi_total_mn_gbp,2023,60641.694840905264,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
Wales,W92000004,gdhi_total_mn_gbp,2024,62622.12732491915,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
Wales,W92000004,gdhi_total_mn_gbp,2025,64430.318164490636,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
Wales,W92000004,gdhi_total_mn_gbp,2026,66286.143967934,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
Wales,W92000004,gdhi_total_mn_gbp,2027,68190.72931322621,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
Wales,W92000004,gdhi_total_mn_gbp,2028,70145.22191576047,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
Wales,W92000004,gdhi_total_mn_gbp,2029,72150.79302315968,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
Wales,W92000004,gdhi_total_mn_gbp,2030,74208.63781508942,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
