region_code,region,year,metric,value,ci_lower,ci_upper,formula,method,data_type
E12000002,North West,2017,income_per_worker_gbp,37827.528475373976,36376.06306259122,39284.145418596556,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000002,North West,2018,productivity_gbp_per_job,54478.95189204788,52755.871906453576,56179.010928348194,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000002,North West,2018,income_per_worker_gbp,38794.18682392774,37325.827156574866,40334.607585294965,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000002,North West,2019,productivity_gbp_per_job,55803.14380057018,54083.68182936423,57612.42197350922,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000002,North West,2019,income_per_worker_gbp,39435.61101810733,37924.37376364754,40993.72610606151,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000002,North West,2020,productivity_gbp_per_job,55965.94093271389,54223.68436797086,57730.275292996055,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000002,North West,2020,income_per_worker_gbp,40948.26794640049,39351.46163529893,42561.63744779148,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000002,North West,2021,productivity_gbp_per_job,57973.3534717471,56154.24808119972,59806.77429870056,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000002,North West,2021,income_per_worker_gbp,40808.44606374288,39287.652877320936,42407.91308885408,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000002,North West,2022,productivity_gbp_per_job,63670.65850521781,61680.06420096503,65741.33132606038,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000002,North West,2022,income_per_worker_gbp,42779.5412154078,41132.81597051264,44461.19088361616,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000002,North West,2023,productivity_gbp_per_job,68232.10553247594,66095.24277691903,70396.75231411237,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000002,North West,2023,income_per_worker_gbp,45891.51361498345,44155.009983657335,47697.678375207695,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000002,North West,2024,productivity_gbp_per_job,68627.80684793895,65596.81616771995,71999.83613422637,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000002,North West,2024,income_per_worker_gbp,45236.558963942065,43669.89377989883,46905.13430125866,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000002,North West,2025,productivity_gbp_per_job,69669.05960022962,68211.18743115923,71178.35062673518,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000002,North West,2025,income_per_worker_gbp,46481.24627666422,44659.78434193018,48344.534346090484,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000002,North West,2026,productivity_gbp_per_job,70880.88406023452,68728.82218024087,73151.91755136817,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000002,North West,2026,income_per_worker_gbp,47671.540820650735,45377.493138202524,49885.6712132448,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000002,North West,2027,productivity_gbp_per_job,71908.89635871176,69253.16993116091,74785.83216684993,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000002,North West,2027,income_per_worker_gbp,48895.6016355029,46198.83332994023,51481.91279490005,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000002,North West,2028,productivity_gbp_per_job,72896.71430205369,69787.75590852866,76356.84326164365,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000002,North West,2028,income_per_worker_gbp,50139.350923904225,47042.94457804746,53222.37554093063,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000002,North West,2029,productivity_gbp_per_job,73772.9064363803,70244.42695595662,77673.85499524133,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000002,North West,2029,income_per_worker_gbp,51396.92518461652,48036.32958459854,54762.201078021244,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000002,North West,2030,productivity_gbp_per_job,74709.00839439154,70802.57226626457,78998.37213355293,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000002,North West,2030,income_per_worker_gbp,52781.53923930898,48930.731218687855,56598.967370238664,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000002,North West,2031,productivity_gbp_per_job,75805.1171750702,71561.27015228527,80473.71167995545,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
